Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,rkbuhmet: Upper Henderson Creek,urn:ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,winds,Active
,wkbfrwq: Fish River,urn:ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,wkbmbwq: Middle Bay,urn:ioos:station:NOAA.NERRS:wkbmbwq,30.39,-87.8177,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,wkbmrwq: Magnolia River,urn:ioos:station:NOAA.NERRS:wkbmrwq,30.39,-87.8177,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,wkbshmet: Safe Harbor Met Station,urn:ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,airPressure,Active
,,,,,airTemperature,Active
,,,,,relativeHumidity,Active
,,,,,winds,Active
,wkbwbwq: Weeks Bay,urn:ioos:station:NOAA.NERRS:wkbwbwq,30.3808,-87.832,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
"National Ocean Service, NOAA (NOS)",,,,,,
,"8720030: Fernandina Beach, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8720030,30.6717,-81.465,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8720218: Mayport (Bar Pilots Dock), FL",urn:ioos:station:NOAA.NOS.CO-OPS:8720218,30.3967,-81.43,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8720219: Dames Point, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8720219,30.3867,-81.5583,waterLevel,Active
,"8720357: I-295 Bridge, St Johns River, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8720357,30.1917,-81.6917,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8720625: Racy Point, St Johns River, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8720625,29.8017,-81.5483,waterLevel,Inactive
,"8721604: Trident Pier, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8721604,28.4158,-80.5931,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Active
,,,,,winds,Active
,"8722670: Lake Worth Pier, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8722670,26.6117,-80.0333,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8723214: Virginia Key, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8723214,25.7314,-80.1618,airPressure,Active
,,,,,airTemperature,Inactive
,,,,,waterLevel,Active
,,,,,winds,Active
,"8723970: Vaca Key, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8723970,24.7117,-81.105,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8724580: Key West, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8724580,24.5557,-81.8079,airPressure,Inactive
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,"8725110: Naples, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8725110,26.1317,-81.8075,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"8725520: Fort Myers, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8725520,26.6477,-81.8712,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8726384: Port Manatee, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726384,27.6387,-82.5621,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,"8726520: St. Petersburg, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726520,27.7606,-82.6269,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8726607: Old Port Tampa, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726607,27.8578,-82.5527,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8726667: Mckay Bay Entrance, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726667,27.9133,-82.425,waterLevel,Inactive
,"8726669: Berth 223 Met, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726669,27.9172,-82.4438,winds,Inactive
,"8726673: Seabulk, Tampa, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726673,27.9233,-82.445,winds,Inactive
,"8726679: East Bay Causeway, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726679,27.9289,-82.4258,winds,Inactive
,"8726694: TPA Cruise Terminal 2, Tampa, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726694,27.9333,-82.4333,winds,Active
,"8726724: Clearwater Beach, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8726724,27.9783,-82.8317,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8727520: Cedar Key, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8727520,29.135,-83.0317,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8728690: Apalachicola, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8728690,29.7267,-84.9817,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8729108: Panama City, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8729108,30.1523,-85.6669,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8729210: Panama City Beach, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8729210,30.2133,-85.8783,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8729840: Pensacola, FL",urn:ioos:station:NOAA.NOS.CO-OPS:8729840,30.4044,-87.2112,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8732828: Weeks Bay, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8732828,30.4167,-87.825,waterLevel,Inactive
,"8734673: Fort Morgan, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8734673,30.2283,-88.025,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"8735180: Dauphin Island, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8735180,30.25,-88.075,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8735391: Dog River Bridge, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8735391,30.5652,-88.088,waterLevel,Active
,"8735523: East Fowl River Bridge, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8735523,30.4437,-88.1139,waterLevel,Active
,"8736897: Coast Guard Sector Mobile, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8736897,30.6483,-88.0583,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8737048: Mobile State Docks, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8737048,30.7083,-88.0433,airPressure,Active
,,,,,airTemperature,Active
,,,,,salinity,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,"8737138: Chickasaw Creek, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8737138,30.7819,-88.0736,waterLevel,Active
,"8738043: West Fowl River Bridge, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8738043,30.3766,-88.1586,waterLevel,Active
,"8739803: Bayou La Batre Bridge, AL",urn:ioos:station:NOAA.NOS.CO-OPS:8739803,30.4057,-88.2477,waterLevel,Active
,"8740166: Grand Bay Nerr, Mississippi Sound, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8740166,30.412,-88.402,waterLevel,Inactive
,,,,,waterLevel,Inactive
,"8741003: Petit Bois Island, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8741003,30.2133,-88.5,airPressure,Active
,,,,,airTemperature,Active
,,,,,winds,Active
,"8741041: Dock E. Port of Pascagoula, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8741041,30.3477,-88.5054,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,"8741094: Range A rear, Pascagoula, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8741094,30.3433,-88.5117,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,winds,Inactive
,"8741501: Dock C, Pascagoula, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8741501,30.355,-88.5667,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,winds,Inactive
,"8741533: Pascagoula Noaa Lab, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8741533,30.3679,-88.563,waterLevel,Active
,,,,,waterLevel,Active
,"8747437: Bay Waveland Yacht Club, MS",urn:ioos:station:NOAA.NOS.CO-OPS:8747437,30.3264,-89.3258,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8760721: Pilottown, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8760721,29.1783,-89.2583,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8760922: Pilots Station East, SW Pass, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8760922,28.9322,-89.4075,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8761305: Shell Beach, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8761305,29.8681,-89.6732,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8761724: Grand Isle, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8761724,29.2633,-89.9567,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8761927: New Canal, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8761927,30.0272,-90.1134,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8761955: Carrollton, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8761955,29.9329,-90.1355,waterLevel,Active
,"8762075: Port Fourchon, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8762075,29.1142,-90.1992,waterLevel,Active
